LAND_SF,YR_BUILT,NUM_FLOORS,NUM_PARK,NUM_RMS,NUM_BDRMS,NUM_FULL_BTH,NUM_HALF_BTH,ZIP_CODE,AV_TOTAL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.0,56000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,38000
3143.0,1905.0,3.0,0.0,18.0,9.0,3.0,0.0,2130.0,1118100
1487.0,1900.0,3.0,0.0,15.0,9.0,3.0,0.0,2128.0,0
3201.0,1920.0,2.0,0.0,12.0,4.0,2.0,0.0,2124.0,454200
3900.0,1900.0,2.0,0.0,12.0,5.0,2.0,0.0,2122.0,635800
6332.0,1940.0,2.0,0.0,0.0,0.0,0.0,0.0,2126.0,1483000
1077.0,1915.0,1.0,2.0,4.0,2.0,2.0,0.0,2127.0,715900
821.0,2004.0,2.0,1.0,4.0,1.0,1.0,0.0,2130.0,440300
3777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,57100
915.0,1905.0,1.0,0.0,5.0,2.0,1.0,0.0,2125.0,385300
6465.0,1995.0,2.0,0.0,8.0,4.0,2.0,1.0,2136.0,406400
1390.0,1899.0,2.0,2.0,5.0,2.0,2.0,1.0,2129.0,750300
3742.0,1982.0,2.0,0.0,0.0,0.0,0.0,0.0,2108.0,3972414
1166.0,2013.0,1.0,0.0,4.0,2.0,2.0,0.0,2111.0,1036260
88490.0,1983.0,1.0,0.0,0.0,0.0,0.0,0.0,2136.0,5185500
3750.0,1930.0,3.0,0.0,0.0,0.0,0.0,0.0,2120.0,1132000
1671.0,1860.0,2.0,1.0,4.0,2.0,2.0,1.0,2118.0,1399800
596.0,1968.0,1.0,1.0,4.0,1.0,1.0,0.0,2121.0,141900
4557.0,1938.0,3.0,0.0,17.0,8.0,3.0,0.0,2124.0,455700
27988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,530900
1625.0,1900.0,3.0,0.0,12.0,6.0,3.0,0.0,2128.0,504900
1018.0,1920.0,1.0,1.0,5.0,2.0,1.0,0.0,2122.0,333800
4848.0,1910.0,2.5,0.0,13.0,6.0,2.0,1.0,2121.0,420800
3856.0,1905.0,3.0,0.0,18.0,9.0,3.0,0.0,2124.0,558900
4107.0,1900.0,2.0,0.0,11.0,5.0,2.0,0.0,2120.0,1101300
770.0,1968.0,1.0,0.0,3.0,1.0,1.0,0.0,2111.0,645600
1226.0,1986.0,1.0,0.0,4.0,2.0,2.0,1.0,2215.0,1038100
1140.0,1890.0,1.0,0.0,4.0,2.0,1.0,1.0,2115.0,723200
7268.0,1885.0,2.0,0.0,13.0,8.0,2.0,0.0,2124.0,572900
3065.0,1905.0,2.5,0.0,12.0,6.0,2.0,0.0,2121.0,400000
1350.0,1899.0,2.0,1.0,5.0,2.0,1.0,1.0,2118.0,1209800
960.0,1905.0,2.0,0.0,4.0,2.0,3.0,0.0,2127.0,626300
7174.0,2018.0,2.0,0.0,12.0,6.0,2.0,2.0,2119.0,227500
514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.0,177000
4427.0,1930.0,2.0,0.0,11.0,5.0,2.0,0.0,2124.0,460600
613.0,1910.0,1.0,0.0,3.0,1.0,1.0,0.0,2215.0,497200
8610.0,1905.0,2.5,0.0,8.0,4.0,1.0,0.0,2136.0,402300
1150.0,1928.0,1.0,0.0,5.0,3.0,1.0,1.0,2127.0,545100
2861.0,1964.0,1.0,0.0,0.0,0.0,0.0,0.0,2136.0,189000
1833.0,1890.0,3.0,0.0,0.0,0.0,0.0,0.0,2119.0,0
877.0,1970.0,1.0,0.0,4.0,2.0,1.0,0.0,2124.0,251300
532.0,1920.0,1.0,0.0,3.0,1.0,1.0,0.0,2135.0,360000
8100.0,1905.0,2.5,0.0,12.0,6.0,2.0,1.0,2131.0,546600
1112.0,1880.0,1.0,0.0,4.0,2.0,2.0,0.0,2130.0,440800
900.0,1910.0,1.0,0.0,5.0,2.0,1.0,0.0,2118.0,694200
7891.0,1988.0,2.5,0.0,0.0,0.0,0.0,0.0,2135.0,760028
1351.0,1900.0,1.0,2.0,6.0,3.0,2.0,0.0,2122.0,296400
6250.0,1900.0,3.0,0.0,14.0,6.0,3.0,0.0,2128.0,650400
5500.0,1900.0,3.0,0.0,0.0,0.0,0.0,0.0,2131.0,0
1263.0,2006.0,2.0,0.0,5.0,2.0,2.0,0.0,2118.0,996500
4050.0,1925.0,2.0,0.0,10.0,4.0,2.0,0.0,2125.0,670500
1055.0,1989.0,1.0,0.0,6.0,3.0,1.0,0.0,2126.0,145700
1263.0,2000.0,1.0,0.0,5.0,2.0,2.0,0.0,2118.0,294600
8200.0,1800.0,2.0,0.0,12.0,4.0,2.0,0.0,2136.0,472900
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.0,32000
1191.0,1989.0,2.0,0.0,4.0,2.0,1.0,0.0,2119.0,281700
590.0,1880.0,1.0,0.0,3.0,1.0,1.0,0.0,2129.0,348900
2141.0,1905.0,3.0,0.0,11.0,5.0,3.0,0.0,2122.0,432800
1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132.0,7500
688.0,1890.0,3.0,0.0,4.0,2.0,1.0,0.0,2113.0,654600
3900.0,1905.0,3.0,0.0,18.0,9.0,3.0,0.0,2124.0,487400
